Image tag,Version,Arch,Build date,Tools list
nightly,526766db,amd64,"2026-02-26T13:01:26Z",[download](</installed_tools/lists/latest_nightly_amd64.csv>)
nightly,526766db,arm64,"2026-02-26T11:54:06Z",[download](</installed_tools/lists/latest_nightly_arm64.csv>)
